title,location,address,city,state,zip_code,subject,objectid,datebuilt_architect,date,latitude,longitude,architect,filename,rights,format
Mount Zion Baptist Church Building,Northeast,8101 Erdrick St.,Philadelphia,PA,19136,church,fulldata_235,"1923, Neely & Martin; 1972, architect unknown",1923;1972,40.040946,-75.02443,Neely & Martin;,,,
Second Baptist Church (Frankford),Northeast,1801 Meadow St.,Philadelphia,PA,19124,church,fulldata_236,"ca. 1910; enlarged in 1923, William L. Charr",1910;1923,40.013654,-75.080048,William L. Charr,,,
Campbell A.M.E. Church / African M.E. Church of Frankford,Northeast,1651-1661 Kinsey St.,Philadelphia,PA,19124,church,fulldata_237,1870,1870,39.946373,-75.177744,,,,
Disney A.M.E. Church,Northeast,Collins St. at E. Westmoreland St.,Philadelphia,PA,19134,church,fulldata_238,,,39.944679,-75.1653428,,,,
Mount Zion Baptist Church Site,Northeast,Rowland Ave. near Welsh Rd. (precise location undetermined),Philadelphia,PA,19136,church,fulldata_239,,,39.990821,-75.168428,,,,
Robert Purvis Estate,Northeast,Byberry and Thornton Roads,Philadelphia,PA,19154,dwelling,fulldata_240,ca. 1770,1770,39.990821,-75.168428,,,,
St. Thomas Methodist Church (Frankford),Northeast,4701 Tackawanna St.,Philadelphia,PA,19124,church,fulldata_241,ca. 1910,1910,40.013822,-75.078048,,,,
Trinity A.M.E. Zion Church Site,Northeast,4712 Duffield St.,Philadelphia,PA,19124,church,fulldata_242,,,40.015676,-75.080909,,,,
St. Catherine of Sienna,Northwest,438-444 W. Penn St.,Philadelphia,PA,19144,church,fulldata_243,"ca. 1915, C. Cummiskey",1915,40.017135,-75.186643,C. Cummiskey,,,
Janes Methodist Church Building,Northwest,47-51 E. Haines St.,Philadelphia,PA,19144,church,fulldata_244,"1928, Charles Parker",1928,40.03953,-75.176116,Charles Parker,https://s3.amazonaws.com/Website_UMCom/FACImages/FAC79116.jpg,,image/jpeg
Enon Tabernacle Baptist Church Building,Northwest,230 W. Coulter St.,Philadelphia,PA,19144,church,fulldata_245,"1914, Charles Wilson",1914,40.028369,-75.17521,Charles Wilson,,,
Mount Zion Baptist Church of Germantown,Northwest,41 W. Rittenhouse St.,Philadelphia,PA,19144,church,fulldata_246,"1894, David S. Gendell",1894,40.035435,-75.17882,David S. Gendell,,,
Germantown Historical Society / Fromberger House,Northwest,5501-5505 Germantown Ave.,Philadelphia,PA,19144,dwelling; young women's christian association; church; office building,fulldata_247,"ca. 1795-96; enlarged 1917; renovated after fire, 1930; rehabbed, 1952-54, G. Edwin",1795;1796;1917;1930; 1952;1954,39.973054,-75.141599,G. Edwin,https://www.phillyhistory.org/PhotoArchive/MediaStream.ashx?mediaId=136981,,image/jpeg
Northern Home for Children,Northwest,5301 Ridge Ave.,Philadelphia,PA,19128,,fulldata_248,"alterations, 1927, Horace Trumbauer (Julian Abele)",1927,40.021044,-75.208578,Horace Trumbauer (Julian Abele),https://upload.wikimedia.org/wikipedia/commons/2/28/Northern_Home_for_Friendless_Children_%2819110485718%29.jpg,,image/jpeg
Grace Baptist Church Building #1,Northwest,34-36 E. Sharpnack St.,Philadelphia,PA,19119,church,fulldata_249,"1908, Jacob Naschold",1908,40.049813,-75.183061,Jacob Naschold,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Baptist_temple_postcard.jpg/440px-Baptist_temple_postcard.jpg,,image/jpeg
Coulter Street School site / Daniel L. Keyser School / Wissahickon Boys and Girls Club,Northwest,328 W. Coulter St.,Philadelphia,PA,19144,school,fulldata_250,"ca. 1887-1899, Joseph Anshutz",1887;1899,39.993189,-75.106902,Joseph Anshutz,,,
